"Year", "Flood"
   1,  9.9974
   2, 10.5556
   3,  9.9014
   4, 11.4800
   5, 12.8460
   6, 11.1330
   7, 10.1126
   8, 10.3060
   9, 10.4980
  10, 10.3060
  11, 10.3060
  12, 10.8642
  13, 10.7860
  14, 10.7860
  15, 10.8450
  16, 10.8450
  17, 11.1330
  18, 10.3060
  19,  9.7670
  20,  9.6888
  21,  9.3432
  22, 11.0754
  23, 10.3060
  24,  9.6120
  25,  9.3432
  26,  9.2280
  27, 10.1894
  28, 10.4596
  29, 10.4596
  30,  9.7272
  31,  9.6696
  32,  9.6504
  33, 10.1318
  34, 10.5556
  35,  9.9014
  36,  9.9782
  37, 10.4596
  38, 11.8832
  39, 10.5364
  40, 10.4212
  41, 10.2278
  42, 10.2278
  43, 10.9026
  44,  9.3240
  45,  9.2472
  46,  9.2856
  47,  9.4392
  48,  9.3816
  49,  8.9962
  50,  8.9962
  51,  9.0730
  52,  9.2664
  53,  9.7670
  54, 10.3060
  55,  9.0922
  56,  8.9962
  57,  8.9962
  58,  9.9590
  59,  9.5160
  60,  9.5736
  61,  9.2280
  62,  9.5736
  63,  9.2856
  64,  9.0922
  65, 10.1702
  66,  9.0730
  67,  8.9962
  68,  8.8810
  69,  9.2280
  70,  8.9578
  71,  9.2280
  72,  9.5160
  73, 10.0358
  74, 10.4212
  75, 10.4212
  76,  9.9206
  77, 10.8450
  78, 10.5748
  79, 10.0358
  80,  9.7670
  81,  9.6120
  82, 10.0358
  83,  8.9578
  84,  9.5544
  85,  9.5736
  86,  9.6120
  87,  9.9590
  88,  9.2280
  89,  9.6120
  90,  9.3432
  91, 10.5748
  92, 11.0754
  93, 10.2278
  94, 10.6900
  95, 13.9240
  96, 10.3060
  97, 10.6516
  98, 10.3060
  99, 11.9230
 100, 12.4620
 101, 11.0370
 102, 10.9986
 103, 11.0370
 104, 10.1510
 105, 11.1906
 106, 10.7284
 107, 10.9218
 108, 10.6900
 109, 10.5748
 110, 10.9986
 111, 10.9410
 112, 10.4596
 113, 10.9602
 114, 10.1510
 115, 10.0742
 116, 10.1126
 117,  9.7670
 118, 10.4212
 119, 10.1894
 120, 10.4212
 121,  9.8054
 122, 10.0550
 123, 10.4212
 124,  9.6888
 125, 10.3636
 126,  9.6120
 127, 10.0358
 128,  9.8438
 129,  9.4200
 130, 10.3060
 131, 10.1894
 132, 10.4212
 133, 10.4596
 134, 10.2278
 135, 11.2290
 136, 10.4596
 137, 10.9410
 138, 10.8450
 139, 10.6900
 140, 10.5556
 141, 10.4020
 142, 11.1522
 143, 11.1906
 144, 10.8642
 145, 11.8064
 146, 11.1522
 147, 11.2290
 148, 12.6156
 149, 13.3850
 150, 12.7692
 151, 12.1918
 152, 11.4416
 153, 11.6144
 154, 10.9794
 155, 10.5346
 156, 10.7284
 157, 10.0742
 158, 10.4020
 159, 10.3060
 160, 10.3828
 161, 10.0166
 162,  9.9590
 163, 10.5748
 164, 12.6924
 165,  8.9002
 166,  8.9002
 167, 10.6516
 168, 10.6132
 169, 10.6516
 170, 10.3828
 171, 10.4788
 172, 10.9026
 173, 10.8244
 174, 10.6132
 175, 10.4212
 176, 10.8834
 177, 11.1714
 178, 12.1534
 179, 11.1714
 180, 10.8450
 181, 10.3060
 182, 11.4224
 183, 10.5940
 184, 12.2302
 185, 12.3454
 186, 11.7680
 187, 11.3840
 188, 12.3646
 189, 11.7680
 190, 10.8052
 191, 10.3444
 192, 10.3444
 193, 10.3636
 194, 10.5172
 195, 10.5172
 196, 10.3060
 197, 10.3828
 198, 11.9230
 199, 11.9422
 200, 10.5364
 201, 11.2290
 202, 11.3840
 203, 11.3840
 204, 10.4980
 205, 10.1510
 206, 11.7680
 207, 10.2086
 208, 11.2482
 209, 10.5172
 210, 10.9602
 211, 11.4416
 212, 10.8642
 213, 10.7284
 214, 10.5556
 215, 12.1726
 216, 11.0562
 217, 11.0178
 218, 10.0934
 219, 10.6132
 220, 10.9602
 221, 10.8052
 222, 10.8052
 223, 10.8052
 224, 10.9218
 225, 10.2086
 226,  9.8630
 227,  9.9782
 228,  9.9974
 229,  8.8042
 230, 10.3252
 231,  9.4584
 232,  9.9590
 233,  9.9782
 234, 10.0166
 235, 10.0550
 236, 10.0934
 237, 11.2290
 238, 11.2290
 239, 10.7668
 240, 10.1510
 241, 10.5748
 242, 10.8450
 243, 11.6528
 244, 11.4800
 245, 12.1726
 246, 12.2494
 247, 11.1138
 248, 12.3262
 249,  9.7670
 250, 10.0550
 251,  9.8630
 252, 10.9986
 253, 10.2278
 254,  9.0730
 255, 10.0166
 256, 11.1714
 257, 10.8450
 258, 10.6900
 259, 11.2098
 260, 10.8450
 261, 10.3060
 262, 10.7092
 263, 10.3060
 264, 10.2086
 265, 10.7860
 266, 10.4020
 267,  8.6890
 268, 10.0934
 269, 10.0934
 270, 10.3060
 271, 10.7284
 272, 11.7680
 273, 10.8450
 274,  9.7670
 275,  9.7670
 276,  9.7670
 277,  9.9974
 278, 10.5364
 279, 10.6516
 280, 10.7284
 281, 10.2470
 282,  9.8630
 283,  9.7862
 284,  9.9974
 285, 10.6900
 286, 10.0358
 287, 10.3444
 288, 11.5184
 289, 11.2290
 290, 10.3060
 291, 11.3250
 292, 10.4980
 293, 10.9218
 294, 10.8450
 295,  9.5352
 296, 10.3060
 297, 10.6516
 298,  9.3816
 299,  9.6120
 300,  9.7670
 301,  9.7670
 302,  9.0730
 303, 10.3060
 304, 10.9986
 305, 11.7680
 306, 12.5580
 307, 11.3442
 308, 10.6900
 309,  9.9206
 310,  9.3240
 311, 10.1510
 312, 10.5748
 313, 10.6900
 314, 11.9230
 315, 10.6900
 316, 10.7476
 317, 10.1510
 318, 10.6900
 319, 10.4980
 320, 10.5940
 321, 10.1510
 322, 11.7680
 323, 10.6516
 324, 10.4020
 325, 10.4212
 326, 11.0370
 327, 11.0370
 328, 11.2290
 329, 11.1714
 330, 11.2674
 331, 12.7884
 332, 12.0574
 333, 11.5760
 334, 12.3646
 335, 10.7476
 336, 10.8450
 337, 10.8450
 338, 11.1138
 339, 11.1138
 340, 10.8450
 341, 10.6132
 342, 10.5940
 343, 10.8450
 344, 10.9794
 345,  9.9974
 346, 11.2674
 347, 10.0358
 348, 10.4212
 349, 12.2110
 350, 11.0754
 351, 10.5748
 352, 10.2278
 353, 12.3070
 354, 10.3636
 355, 11.8448
 356, 10.4980
 357, 10.4980
 358, 10.4980
 359, 10.0934
 360, 11.2290
 361, 10.1318
 362, 10.3444
 363, 10.2854
 364, 10.7284
 365, 10.8244
 366, 10.9986
 367, 10.7092
 368, 11.1906
 369, 11.1714
 370, 11.1138
 371, 11.7104
 372, 11.7104
 373, 11.5760
 374, 11.1714
 375, 11.1906
 376, 10.8052
 377, 11.3442
 378, 11.4992
 379, 11.4416
 380, 11.4224
 381, 10.9602
 382, 10.6324
 383, 10.5172
 384, 10.6516
 385, 11.8064
 386, 13.8472
 387, 12.2686
 388, 12.0766
 389, 12.0766
 390, 11.0754
 391, 12.0190
 392, 12.4620
 393, 12.6348
 394, 12.0190
 395, 11.7296
 396, 11.7296
 397, 11.4416
 398, 11.9806
 399, 12.7500
 400, 12.7500
 401, 12.1918
 402, 12.2302
 403, 12.1534
 404, 11.9230
 405, 11.8064
 406, 13.5400
 407, 11.9998
 408, 11.8832
 409, 12.6540
 410, 12.3838
 411, 12.9806
 412, 12.5196
 413, 12.7884
 414, 12.0766
 415, 12.4222
 416, 11.9998
 417, 11.9614
 418, 10.4404
 419, 11.3250
 420, 12.2110
 421, 11.3058
 422, 11.5376
 423, 11.3840
 424, 10.8642
 425, 11.1138
 426, 11.7296
 427, 11.3840
 428, 10.8450
 429, 10.0742
 430, 10.8450
 431, 10.0934
 432, 10.0358
 433, 11.4224
 434, 10.9026
 435, 12.0766
 436, 11.8448
 437, 11.4224
 438, 11.5184
 439, 11.1330
 440, 11.5184
 441, 11.2098
 442, 11.7488
 443, 11.7872
 444, 11.9230
 445, 12.2686
 446, 11.0370
 447, 11.1138
 448, 11.0946
 449, 11.0946
 450, 12.6156
 451, 11.3250
 452, 11.6528
 453, 10.7668
 454, 11.1138
 455, 10.6900
 456, 11.1906
 457, 11.9230
 458, 10.9794
 459, 11.2290
 460, 11.6912
 461, 11.7872
 462, 11.6912
 463, 11.7872
 464, 10.9026
 465, 10.5556
 466, 10.9602
 467, 10.1510
 468, 11.0370
 469, 11.7872
 470, 12.1726
 471, 12.2878
 472, 12.1534
 473, 11.5376
 474, 11.6144
 475, 11.1330
 476, 11.3250
 477, 11.7680
 478, 11.8256
 479, 11.4416
 480, 11.4800
 481, 11.4224
 482, 11.8832
 483, 11.3250
 484, 10.7668
 485, 10.2278
 486, 10.3060
 487,  9.2280
 488,  8.9578
 489,  9.7272
 490,  9.8822
 491, 10.4212
 492, 12.1918
 493, 10.8450
 494, 10.9794
 495, 11.2290
 496, 11.2290
 497, 10.4212
 498, 10.4212
 499, 10.4980
 500, 10.4980
 501, 10.0358
 502, 10.3828
 503, 10.5748
 504, 11.4992
 505, 10.5364
 506,  9.9974
 507,  9.8822
 508,  9.9014
 509, 10.5364
 510,  9.7670
 511, 10.5364
 512, 10.6900
 513, 10.6900
 514, 11.2098
 515, 10.3636
 516,  9.2280
 517,  8.9194
 518, 10.6900
 519, 10.6900
 520, 10.8450
 521, 10.8450
 522, 11.0946
 523, 11.9230
 524, 11.2290
 525, 10.6900
 526, 10.9986
 527, 11.2290
 528, 10.6900
 529, 10.5748
 530,  9.7670
 531, 10.3060
 532, 10.6900
 533, 11.3840
 534, 11.3058
 535, 10.9602
 536, 10.9218
 537, 11.2290
 538, 10.4404
 539, 10.9986
 540, 10.4212
 541, 11.0754
 542, 10.6132
 543, 10.7860
 544, 10.6708
 545, 10.8052
 546, 11.1522
 547, 11.2290
 548, 11.5184
 549, 10.9794
 550, 10.5748
 551, 10.3444
 552, 10.8244
 553, 11.0562
 554, 10.6900
 555, 11.1522
 556, 11.8064
 557, 11.2482
 558, 11.9614
 559, 12.1342
 560, 11.7872
 561, 10.9218
 562, 11.6336
 563, 11.6336
 564, 11.6144
 565, 12.3262
 566, 11.3840
 567,  9.8630
 568, 10.8450
 569, 10.4020
 570, 10.3060
